country,total_attacks_2024,total_attacks_2023,ransomware_attacks_2024,phishing_attacks_2024,data_breaches_2024,ddos_attacks_2024,critical_infra_attacks_2024,financial_sector_attacks_2024,govt_sector_attacks_2024,healthcare_attacks_2024,avg_attack_cost_usd,data_exposed_records
Jamaica,1425,1250,215,705,52,318,42,98,125,68,125000,45000
Trinidad and Tobago,1105,980,165,545,42,248,32,82,95,52,185000,38000
Barbados,512,450,75,248,20,112,15,40,45,25,220000,15000
Dominican Republic,2520,2200,368,1195,85,592,65,205,185,142,145000,125000
Haiti,745,650,98,355,28,172,25,72,78,55,45000,22000
Bahamas,435,380,62,205,18,95,12,42,35,28,280000,12000
Guyana,368,320,52,175,15,82,10,35,28,22,95000,8500
Saint Lucia,325,280,45,152,12,72,8,28,25,18,155000,6500
Grenada,172,150,24,82,7,38,5,15,15,12,135000,3500
Antigua and Barbuda,138,120,20,65,6,32,4,12,12,8,175000,2800
Saint Vincent and the Grenadines,108,95,14,55,5,25,3,10,10,7,115000,2200
Dominica,98,85,12,48,4,22,3,9,8,6,125000,1800
Saint Kitts and Nevis,128,110,18,58,6,28,4,12,12,10,195000,3200
Belize,288,250,42,135,10,62,8,28,25,18,85000,7500
Suriname,322,280,48,152,12,72,10,30,32,22,95000,9500
Cuba,458,400,62,215,18,102,15,45,42,35,75000,18000
Puerto Rico,965,850,142,455,38,215,28,75,85,58,250000,52000
