country,internet_users_pct_2024,internet_users_pct_2023,internet_users_pct_2020,broadband_per_100,mobile_subs_per_100,secure_servers_per_million,gdp_per_capita_usd,gdp_growth_pct_2024,population_millions,digital_govt_index
Jamaica,68.5,65.0,55.0,5.8,128.5,45.2,6200,2.8,2.83,52.3
Trinidad and Tobago,84.2,82.0,75.0,9.2,148.2,82.5,16500,1.5,1.53,68.5
Barbados,87.1,85.0,80.0,13.1,158.3,125.3,19200,4.2,0.28,75.2
Dominican Republic,80.5,78.0,70.0,7.5,118.5,38.5,9800,4.8,11.33,58.3
Haiti,38.2,35.0,28.0,1.5,78.2,5.2,1750,-1.2,11.72,22.5
Bahamas,89.5,88.0,82.0,11.2,163.5,95.8,33500,3.5,0.41,78.5
Guyana,65.8,62.0,55.0,4.5,115.2,22.5,11000,8.5,0.82,48.2
Saint Lucia,78.3,75.0,68.0,8.0,138.5,55.2,12500,3.2,0.18,62.5
Grenada,71.2,68.0,62.0,6.2,123.8,42.8,11500,2.5,0.12,55.8
Antigua and Barbuda,74.5,72.0,65.0,7.5,143.2,68.5,15500,3.8,0.1,65.2
Saint Vincent and the Grenadines,63.8,60.0,55.0,4.8,108.5,35.2,8800,2.2,0.1,50.5
Dominica,68.2,65.0,58.0,5.5,118.2,38.5,9500,2.8,0.07,52.8
Saint Kitts and Nevis,73.5,70.0,65.0,8.8,133.5,75.2,19500,3.5,0.05,68.5
Belize,55.8,52.0,45.0,5.2,98.5,18.5,5800,3.2,0.43,45.2
Suriname,72.5,70.0,65.0,6.5,123.5,28.5,7200,4.5,0.62,48.5
Cuba,72.8,70.0,65.0,3.5,88.2,15.2,9500,1.8,11.05,42.5
Puerto Rico,86.5,85.0,80.0,11.8,152.5,105.5,33000,2.2,3.29,72.5
