country,has_national_cyberstrategy,has_data_protection_law,has_cert_team,cybercrime_law_strength,intl_cyber_cooperation,critical_infra_protection
Jamaica,1,1,1,6.5,7.2,5.8
Trinidad and Tobago,1,1,1,7.8,8.0,7.2
Barbados,1,1,1,8.5,8.5,8.0
Dominican Republic,1,1,1,6.8,7.0,6.2
Haiti,0,0,0,2.5,3.5,2.8
Bahamas,1,1,1,8.2,8.5,8.2
Guyana,0,1,0,5.5,6.2,5.2
Saint Lucia,1,1,1,7.2,7.5,6.5
Grenada,0,1,0,6.5,7.0,6.0
Antigua and Barbuda,1,1,1,7.5,7.8,7.0
Saint Vincent and the Grenadines,0,0,0,5.8,6.5,5.5
Dominica,0,0,0,6.0,6.8,5.8
Saint Kitts and Nevis,1,1,1,7.8,8.0,7.5
Belize,0,0,0,5.2,6.0,4.8
Suriname,0,1,0,5.8,6.5,5.5
Cuba,0,0,0,4.5,5.5,4.2
Puerto Rico,1,1,1,8.0,8.8,8.0
