country,exposure_score,vulnerability_score,threat_score,policy_gap_score,risk_index,risk_level,ransomware_risk,infrastructure_risk,attack_growth_rate
Jamaica,6.202000000000001,4.989777777777777,5.150446644791817,1.33,4.731456215659767,Medium,5.842391304347826,6.461538461538462,14.000000000000002
Trinidad and Tobago,7.792,3.0908333333333333,3.3133842305037957,0.8599999999999997,3.7632069358178053,Low,4.483695652173913,4.923076923076923,12.755102040816327
Barbados,8.233999999999998,2.234222222222222,2.2338957391943026,0.5999999999999994,3.188946499536068,Low,2.0380434782608696,2.307692307692308,13.777777777777779
Dominican Republic,7.161999999999999,4.537444444444445,8.740359897172237,1.21,5.824113524707226,Medium,10.0,10.0,14.545454545454545
Haiti,3.1919999999999997,7.815833333333333,3.432743066174664,9.08,5.765764586519065,Medium,2.6630434782608696,3.8461538461538463,14.615384615384617
Bahamas,8.510000000000002,1.8255555555555558,2.47492815180345,0.6299999999999994,3.17792288998548,Low,1.684782608695652,1.8461538461538463,14.473684210526317
Guyana,5.8759999999999994,5.762833333333334,2.638689522603124,6.119999999999999,4.901798523447604,Medium,1.4130434782608694,1.5384615384615385,15.0
Saint Lucia,7.198,4.048611111111111,3.2481056321973676,1.0849999999999993,3.993795578548099,Low,1.2228260869565217,1.2307692307692308,16.071428571428573
Grenada,6.504,4.601444444444444,1.8286492235581315,5.8,4.329900322622994,Low,0.6521739130434783,0.7692307692307693,14.666666666666666
Antigua and Barbuda,7.077999999999999,3.559166666666667,1.9649490119060922,0.9499999999999997,3.393293036905161,Low,0.5434782608695652,0.6153846153846154,15.0
Saint Vincent and the Grenadines,5.848,5.387277777777778,0.9530826794548688,8.015,4.543322026058683,Medium,0.3804347826086957,0.46153846153846156,13.684210526315791
Dominica,6.204000000000001,5.032222222222222,2.0350014172056072,7.930000000000001,4.80207820293946,Medium,0.32608695652173914,0.46153846153846156,15.294117647058824
Saint Kitts and Nevis,7.15,3.0032777777777775,2.8762508626639063,0.8149999999999991,3.4662724810213934,Low,0.4891304347826087,0.6153846153846154,16.363636363636363
Belize,5.156,6.098944444444444,2.550584992575324,8.24,5.167006053328152,Medium,1.141304347826087,1.2307692307692308,15.2
Suriname,6.29,5.375277777777779,2.520245768289805,6.014999999999999,4.797670952709164,Medium,1.3043478260869565,1.5384615384615385,15.0
Cuba,6.068,5.873666666666666,2.5387947055056133,8.469999999999999,5.301521744985017,Medium,1.684782608695652,2.307692307692308,14.499999999999998
Puerto Rico,8.09,1.8319444444444446,3.415799821847445,0.6999999999999995,3.388920502109789,Low,3.858695652173913,4.307692307692308,13.529411764705882
